id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso
z03-25-01-15600,Promoción de sistemas fiscales progresivos en América Latina y el Caribe,Fundación Oxfam Colombia,15114 - Política fiscal y apoyo a la administración tributaria,América Latina y Caribe (No Especificado),350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15600
z03-25-01-15500,Apoyo a la política agrícola y rural en Etiopía,Ministerio de Agricultura y de Desarrollo de Recursos Naturales de Etiopía,31110 - Política agraria y gestión administrativa,Etiopía,750000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15500
z03-25-01-15400,Capacidades y asesoría legal para mujeres indígenas líderes en Perú,Vicariato Apostólico de Iquitos,15150 - Fortalecimiento de la sociedad civil,Perú,150000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15400
z03-25-01-15300,Rehabilitación de los sistemas de café en Nicaragua,CIAT - Centro Internacional de Agricultura Tropical,31120 - Desarrollo agrario; 74020 - Preparación para respuesta ante múltiples peligros,Nicaragua,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15300
z03-25-01-15200,Mantenimiento de servicios maternos y ginecológicos esenciales en la Franja de Gaza,AL AWDA (Union of Health Work Committees),72011 - Servicios básicos de salud en emergencias,Palestina,350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15200
z03-25-01-15100,"Apoyo al Plan de Desarrollo del distrito de Buenaventura, Colombia",RAP Pacífico - Región Administrativa y de Planificación del Pacífico,15112 - Descentralización y apoyo a los gobiernos regionales y locales,Colombia,490215.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15100
z03-25-01-15000,"Desarrollo territorial para consolidar la paz en el departamento del Cauca, Colombia",Departamento del Cauca,15110 - Política de administración y gestión del sector público; 15170 - Organizaciones e instituciones de la igualdad de las mujeres; 16020 - Creación de empleo,Colombia,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15000
z03-25-01-14900,Modernización de la gestión de recursos humanos en Guatemala,ASIES - Asociación de Investigación y Estudios Sociales,15110 - Política de administración y gestión del sector público,Guatemala,300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14900
z03-25-01-14800,Apoyo a defensores de derechos humanos en comunidades locales de Filipinas,Karapatan Alliance Philippines Inc,15160 - Derechos humanos; 15220 - Construcción de la Paz y prevención y solución de conflictos,Filipinas,139312.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14800
z03-25-01-14700,Protección y acceso a derechos para niños y adolescentes migrantes y refugiados en Perú,Encuentros Servicio Jesuita de la Solidaridad,"15190 - Facilitar la migración y movilidad ordenada, segura, regular y responsable",Perú,350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14700
z03-25-01-14600,Atención integral a mujeres víctimas de violencia de género y a personas LGBTIQ+ desplazadas en Ecuador,Fundación Diálogo Diverso,"15190 - Facilitar la migración y movilidad ordenada, segura, regular y responsable",Ecuador,300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14600
z03-25-01-14500,Protección del periodismo de investigación en América Latina,IPYS - Instituto Prensa y Sociedad,15153 - Medios de comunicación y el libre flujo de información,América Latina y Caribe (No Especificado),300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14500
z03-25-01-14400,Comunidad de práctica para la defensa de la democracia y los derechos humanos en América Latina,WOLA - Oficina en Washington para Asuntos Latinoamericanos,15150 - Fortalecimiento de la sociedad civil,América Latina y Caribe (No Especificado),488871.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14400
z03-25-01-14300,Periodismo para combatir la desinformación en América Latina,Fundación GABO - Fundación Gabriel García Marquez para el Nuevo Periodismo Iberoamericano,15150 - Fortalecimiento de la sociedad civil; 11430 - Formación superior técnica y de dirección; 15153 - Medios de comunicación y el libre flujo de información,América Latina y Caribe (No Especificado),170000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14300
z03-25-01-14200,Apoyo a salarios y pensiones del sector público en Palestina,Ministerio de Finanzas de Palestina,15110 - Política de administración y gestión del sector público,Palestina,2000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14200
z03-25-01-14100,Protección del derecho a defender los derechos humanos en América Latina,CODHES - Consultoría para los Derechos Human y el Desplazamiento,15160 - Derechos humanos,América Latina y Caribe (No Especificado),300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14100
z03-25-01-14000,Uso de datos geoespaciales en los Grandes Bosques de Mesoamérica,Fundación Universidad de Costa Rica,41081 - Educación / formación medioambiental; 41010 - Política medioambiental y gestión administrativa; 43082 - Instituciones científicas y de investigación,"Belice, Costa Rica, El Salvador, Guatemala, Honduras, México, Panamá",300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-14000
